  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      7.7243E-02      1.0776E+00      1.0271E+00      1.1335E+00      7.4605E-02      7.7643E+01      1.0111E+02      1.0000E+00
      7.4688E-02      1.0964E+00      1.0286E+00      1.1562E+00      7.3347E-02      7.8453E+01      1.0074E+02      1.0000E+00
      7.4651E-02      1.1027E+00      1.0292E+00      1.1686E+00      7.4217E-02      7.9288E+01      1.0051E+02      1.0000E+00
      7.4972E-02      1.1056E+00      1.0298E+00      1.1753E+00      7.4874E-02      7.9594E+01      1.0036E+02      1.0000E+00
      7.5259E-02      1.1082E+00      1.0306E+00      1.1801E+00      7.5234E-02      7.9627E+01      1.0038E+02      1.0000E+00
      7.5862E-02      1.1149E+00      1.0329E+00      1.1913E+00      7.5739E-02      7.9406E+01      1.0060E+02      1.0000E+00
      7.7576E-02      1.1323E+00      1.0392E+00      1.2209E+00      7.7243E-02      7.8861E+01      1.0115E+02      1.0000E+00
      8.1884E-02      1.1679E+00      1.0518E+00      1.2915E+00      8.1431E-02      7.8927E+01      1.0107E+02      1.0000E+00
      8.8073E-02      1.3702E+00      1.1195E+00      1.5641E+00      7.5816E-02      7.8505E+01      1.0124E+02      1.0000E+00
      4.3791E-02      1.2519E+00      1.1594E+00      1.7025E+00      3.0106E-02      7.2997E+01      1.1316E+02      1.0000E+00
      6.9799E-02      1.2937E+00      1.1025E+00      1.5646E+00      6.6967E-02      8.2659E+01      9.6655E+01      1.0000E+00
      6.2760E-02      1.2029E+00      1.0542E+00      1.3625E+00      5.8759E-02      8.3894E+01      9.7341E+01      1.0000E+00
      6.1964E-02      1.2567E+00      1.1534E+00      1.6920E+00      5.4011E-02      8.0599E+01      9.8255E+01      1.0000E+00
      8.4398E-02      1.0612E+00      1.0273E+00      1.1874E+00      7.8171E-02      8.1745E+01      9.9105E+01      1.0000E+00
      9.0558E-02      1.1213E+00      1.0287E+00      1.2691E+00      8.0642E-02      8.4982E+01      9.7410E+01      1.0000E+00
      6.5385E-02      1.8111E+00      1.5672E+00      2.6492E+00      2.1475E-02      5.0018E+01      1.3679E+02      1.0000E+00
      3.8481E-02      1.2410E+00      1.0768E+00      1.4978E+00      2.9258E-02      6.9632E+01      1.0507E+02      1.0000E+00
      6.9733E-02      1.2512E+00      1.0952E+00      1.5353E+00      4.7703E-02      7.3462E+01      1.1037E+02      1.0000E+00
      5.7720E-02      1.4113E+00      1.1980E+00      1.5428E+00      4.4753E-02      5.9618E+01      1.1895E+02      1.0000E+00
      5.5969E-02      1.3922E+00      1.1626E+00      1.5138E+00      4.4212E-02      6.4678E+01      1.1578E+02      1.0000E+00
      5.4818E-02      1.4230E+00      1.3523E+00      2.2596E+00      2.6086E-02      6.0818E+01      1.2137E+02      1.0000E+00
      5.1821E-02      1.1486E+00      1.0320E+00      1.2994E+00      4.2011E-02      8.1743E+01      1.0363E+02      1.0000E+00
      7.0691E-02      1.1333E+00      1.0259E+00      1.2525E+00      6.7308E-02      8.7382E+01      9.3282E+01      1.0000E+00
      7.3822E-02      1.1095E+00      1.0199E+00      1.2137E+00      7.2966E-02      8.6352E+01      9.3257E+01      1.0000E+00
      7.4622E-02      1.1039E+00      1.0192E+00      1.2027E+00      7.4417E-02      8.6112E+01      9.3793E+01      1.0000E+00
      7.4885E-02      1.1033E+00      1.0192E+00      1.2013E+00      7.4827E-02      8.6134E+01      9.3888E+01      1.0000E+00
      7.5165E-02      1.1086E+00      1.0203E+00      1.2093E+00      7.4861E-02      8.6199E+01      9.3814E+01      1.0000E+00
      7.5887E-02      1.1234E+00      1.0234E+00      1.2321E+00      7.4882E-02      8.6755E+01      9.3275E+01      1.0000E+00
      7.8063E-02      1.1698E+00      1.0362E+00      1.2992E+00      7.4931E-02      8.5778E+01      9.4152E+01      1.0000E+00
      9.4853E-02      1.2836E+00      1.0983E+00      1.5425E+00      9.2513E-02      8.5848E+01      9.4315E+01      1.0000E+00
      6.2208E-02      1.3743E+00      1.4164E+00      2.2399E+00      4.5786E-02      7.1755E+01      1.0851E+02      1.0000E+00
      3.3267E-02      2.0083E+00      1.6503E+00      2.7686E+00      1.8173E-02      5.1188E+01      1.1977E+02      1.0000E+00
      3.0893E-02      1.3953E+00      1.2888E+00      1.5629E+00      2.0779E-02      6.0231E+01      1.2818E+02      1.0000E+00
      3.2151E-02      1.3526E+00      1.1984E+00      1.5518E+00      2.3295E-02      6.3021E+01      1.2192E+02      1.0000E+00
      4.2073E-02      2.0533E+00      1.5664E+00      2.5564E+00      2.3774E-02      4.7902E+01      1.2492E+02      1.0000E+00
      7.8759E-02      1.8443E+00      2.1046E+00      3.9565E+00      4.1947E-02      6.4594E+01      1.0980E+02      1.0000E+00
      9.6386E-02      1.3612E+00      1.1841E+00      1.4876E+00      9.3500E-02      6.4990E+01      1.1541E+02      1.0000E+00
      7.8295E-02      1.2127E+00      1.0982E+00      1.2694E+00      7.4591E-02      6.8423E+01      1.1169E+02      1.0000E+00
      7.5876E-02      1.1428E+00      1.0546E+00      1.2004E+00      7.4780E-02      7.4326E+01      1.0571E+02      1.0000E+00
      7.5153E-02      1.1225E+00      1.0437E+00      1.1793E+00      7.4833E-02      7.6146E+01      1.0387E+02      1.0000E+00
      7.4922E-02      1.1157E+00      1.0404E+00      1.1712E+00      7.4852E-02      7.6694E+01      1.0333E+02      1.0000E+00
      7.4874E-02      1.1144E+00      1.0401E+00      1.1696E+00      7.4746E-02      7.6652E+01      1.0327E+02      1.0000E+00
      7.5001E-02      1.1135E+00      1.0405E+00      1.1672E+00      7.4590E-02      7.6298E+01      1.0344E+02      1.0000E+00
      7.5662E-02      1.1101E+00      1.0411E+00      1.1604E+00      7.4760E-02      7.5675E+01      1.0370E+02      1.0000E+00
      7.7108E-02      1.0983E+00      1.0409E+00      1.1399E+00      7.5996E-02      7.5289E+01      1.0432E+02      1.0000E+00
      7.9096E-02      1.0843E+00      1.0398E+00      1.1125E+00      7.8219E-02      7.5449E+01      1.0471E+02      1.0000E+00
      8.0366E-02      1.0852E+00      1.0371E+00      1.1016E+00      7.9765E-02      7.5698E+01      1.0455E+02      1.0000E+00
      8.0277E-02      1.0876E+00      1.0367E+00      1.1119E+00      7.9615E-02      7.5716E+01      1.0394E+02      1.0000E+00
      7.9376E-02      1.0868E+00      1.0352E+00      1.1168E+00      7.8871E-02      7.6182E+01      1.0361E+02      1.0000E+00
      7.8354E-02      1.0883E+00      1.0363E+00      1.1201E+00      7.7836E-02      7.6395E+01      1.0385E+02      1.0000E+00
      7.7477E-02      1.0969E+00      1.0398E+00      1.1310E+00      7.6721E-02      7.6079E+01      1.0446E+02      1.0000E+00
      7.6657E-02      1.1029E+00      1.0432E+00      1.1417E+00      7.6014E-02      7.5496E+01      1.0481E+02      1.0000E+00
      7.6010E-02      1.1107E+00      1.0447E+00      1.1556E+00      7.5632E-02      7.5295E+01      1.0470E+02      1.0000E+00
